mu0,mu1,mu2,C,CV,Ln,CV_SP,Ln_SP,mu3
1500.0,23000.0,1800000.0,0.16,1.0,15.0,1.0,15.0,250000000.0
1757.4388427734375,48958.0859375,3012672.25,0.15956811606884003,0.07369117438793182,27.52429962158203,1.0,15.0,379798720.0
2221.218017578125,80688.5625,5169064.5,0.15884622931480408,-0.1520320326089859,35.99294662475586,1.0,15.0,596755520.0
3075.94677734375,122223.9609375,8493906.0,0.1576680988073349,-0.16041572391986847,39.40207290649414,1.0,15.0,950836032.0
4637.89990234375,180591.109375,13317373.0,0.15584592521190643,-0.08038578927516937,38.60480880737305,1.0,15.0,1498479360.0
7388.23291015625,266680.53125,20103440.0,0.1531839668750763,0.017471836879849434,35.76199722290039,1.0,15.0,2298518016.0
11971.3046875,394841.53125,29416792.0,0.14951175451278687,0.09616789221763611,32.64902114868164,1.0,15.0,3402176512.0
19117.625,579917.4375,41760572.0,0.14474642276763916,0.1463223546743393,30.000869750976562,1.0,15.0,4834354688.0
29458.400390625,831398.75,57278888.0,0.1389724165201187,0.17463095486164093,27.889501571655273,1.0,15.0,6569674240.0
43282.265625,1147204.25,75483848.0,0.13248470425605774,0.19173774123191833,26.171876907348633,1.0,15.0,8519501824.0
60350.953125,1511655.125,95256264.0,0.12573613226413727,0.20534268021583557,24.714445114135742,1.0,15.0,10547726336.0
79937.1796875,1900273.625,115201992.0,0.11919564008712769,0.21924912929534912,23.43878746032715,1.0,15.0,12513410048.0
101073.21875,2288175.25,134111008.0,0.11321250349283218,0.23470495641231537,22.305490493774414,1.0,15.0,14311587840.0
122816.1484375,2656505.25,151223968.0,0.10796374082565308,0.25159698724746704,21.2966365814209,1.0,15.0,15889055744.0
144427.921875,2994268.25,166231440.0,0.10348296165466309,0.26948389410972595,20.398624420166016,1.0,15.0,17235714048.0
165403.859375,3297300.25,179150736.0,0.09971392899751663,0.2877587378025055,19.601547241210938,1.0,15.0,18368460800.0
185454.921875,3565649.0,190163744.0,0.09656443446874619,0.30604708194732666,18.893203735351562,1.0,15.0,19315011584.0
204440.640625,3801922.75,199526400.0,0.09393259137868881,0.3239975869655609,18.263412475585938,1.0,15.0,20105986048.0
222322.53125,4009498.0,207490912.0,0.09172695130109787,0.3414609432220459,17.701305389404297,1.0,15.0,20768872448.0
239120.25,4191964.25,214287184.0,0.0898691788315773,0.3583453297615051,17.197481155395508,1.0,15.0,21327210496.0
254886.21875,4352779.0,220115088.0,0.08829418569803238,0.37459003925323486,16.744043350219727,1.0,15.0,21800554496.0
269688.09375,4495005.0,225140304.0,0.08694974333047867,0.3901785612106323,16.334121704101562,1.0,15.0,22204616704.0
283600.09375,4621345.0,229500512.0,0.08579359948635101,0.4051056206226349,15.961987495422363,1.0,15.0,22552084480.0
296694.40625,4734033.5,233305488.0,0.08479268848896027,0.41939663887023926,15.622626304626465,1.0,15.0,22852894720.0
309039.25,4834949.5,236644160.0,0.08392070978879929,0.4330846667289734,15.311802864074707,1.0,15.0,23114962944.0
320698.15625,4925689.5,239589440.0,0.08315641433000565,0.44620180130004883,15.025972366333008,1.0,15.0,23344662528.0
331734.28125,5007717.0,242204704.0,0.08248171210289001,0.45876291394233704,14.762267112731934,1.0,15.0,23547435008.0
342197.40625,5082087.5,244536336.0,0.08188337832689285,0.47081318497657776,14.518033027648926,1.0,15.0,23727261696.0
352135.65625,5149770.5,246624944.0,0.08135000616312027,0.48238304257392883,14.291095733642578,1.0,15.0,23887562752.0
1500.0,23000.0,1800000.0,0.16,1.0,15.0,1.0,15.0,250000000.0
1757.4388427734375,48958.0859375,3012672.25,0.15956811606884003,0.07369117438793182,27.52429962158203,1.0,15.0,379798720.0
2221.140625,80686.46875,5168928.0,0.15884627401828766,-0.15204133093357086,35.993255615234375,1.0,15.0,596741824.0
